path,Class,height,width,channel,B&W,luminosite,area,keep
COVID/COVID (934).png,covid,331.0,331.0,3.0,True,106.48837633829555,37841.0,1
COVID/COVID (296).png,covid,256.0,256.0,3.0,True,119.66650390625,39366.0,1
COVID/COVID (74).png,covid,256.0,256.0,3.0,True,153.07899475097656,38131.0,1
COVID/COVID (261).png,covid,256.0,256.0,3.0,True,186.78778076171875,27607.0,1
COVID/COVID (978).png,covid,331.0,331.0,3.0,True,159.00681811958634,14699.0,1
COVID/COVID (285).png,covid,256.0,256.0,3.0,True,146.36126708984375,39468.0,1
COVID/COVID (195).png,covid,256.0,256.0,3.0,True,152.5609130859375,41859.0,1
COVID/COVID (1092).png,covid,331.0,331.0,3.0,True,136.75709422148392,42319.0,1
COVID/COVID (869).png,covid,331.0,331.0,3.0,True,138.33155046047406,35262.0,1
COVID/COVID (1052).png,covid,331.0,331.0,3.0,True,125.1887624245854,28231.0,1
COVID/COVID (493).png,covid,256.0,256.0,3.0,True,159.40338134765625,45376.0,1
COVID/COVID (636).png,covid,331.0,331.0,3.0,True,161.61981909621124,36351.0,1
COVID/COVID (717).png,covid,331.0,331.0,3.0,True,139.4823888062358,38411.0,1
COVID/COVID (640).png,covid,331.0,331.0,3.0,True,144.75964987541187,40785.0,1
COVID/COVID (1091).png,covid,331.0,331.0,3.0,True,149.42166464344064,26688.0,1
COVID/COVID (441).png,covid,256.0,256.0,3.0,True,150.00381469726562,26940.0,1
COVID/COVID (961).png,covid,331.0,331.0,3.0,True,125.67546846049231,40423.0,1
COVID/COVID (633).png,covid,331.0,331.0,3.0,True,154.31436368780862,42479.0,1
COVID/COVID (894).png,covid,331.0,331.0,3.0,True,158.51288323399746,51219.0,1
COVID/COVID (424).png,covid,256.0,256.0,3.0,True,163.45616149902344,22831.0,0
COVID/COVID (595).png,covid,331.0,331.0,3.0,True,128.53280820730006,40625.0,1
COVID/COVID (429).png,covid,256.0,256.0,3.0,True,154.51431274414062,27327.0,1
COVID/COVID (1114).png,covid,331.0,331.0,3.0,True,158.8558793731346,33235.0,1
COVID/COVID (738).png,covid,331.0,331.0,3.0,True,146.42275079636005,53807.0,1
COVID/COVID (222).png,covid,256.0,256.0,3.0,True,130.80551147460938,30842.0,1
COVID/COVID (553).png,covid,256.0,256.0,3.0,True,117.14884948730469,28484.0,1
COVID/COVID (491).png,covid,256.0,256.0,3.0,True,150.53565979003906,33492.0,1
COVID/COVID (702).png,covid,331.0,331.0,3.0,True,141.32552641907247,38121.0,1
COVID/COVID (1037).png,covid,331.0,331.0,3.0,True,146.73810936373346,26407.0,1
COVID/COVID (485).png,covid,256.0,256.0,3.0,True,136.81257629394528,17769.0,1
COVID/COVID (573).png,covid,331.0,331.0,3.0,True,135.67147981489762,42723.0,1
COVID/COVID (593).png,covid,331.0,331.0,3.0,True,97.79563895911863,19792.0,1
COVID/COVID (805).png,covid,331.0,331.0,3.0,True,140.9201905787643,47361.0,1
COVID/COVID (245).png,covid,256.0,256.0,3.0,True,146.39051818847656,35260.0,1
COVID/COVID (828).png,covid,331.0,331.0,3.0,True,144.3093253986364,21421.0,1
COVID/COVID (813).png,covid,331.0,331.0,3.0,True,146.27378355436701,38214.0,1
COVID/COVID (783).png,covid,331.0,331.0,3.0,True,143.75223847902083,38941.0,1
COVID/COVID (566).png,covid,331.0,331.0,3.0,True,123.7697629630982,35869.0,1
COVID/COVID (839).png,covid,331.0,331.0,3.0,True,172.83862870912094,9540.0,0
COVID/COVID (307).png,covid,256.0,256.0,3.0,True,151.79403686523438,39538.0,1
COVID/COVID (91).png,covid,256.0,256.0,3.0,True,139.58091735839844,25651.0,1
COVID/COVID (960).png,covid,331.0,331.0,3.0,True,136.35958963499786,41156.0,1
COVID/COVID (718).png,covid,331.0,331.0,3.0,True,170.84945372897292,40371.0,1
COVID/COVID (1104).png,covid,331.0,331.0,3.0,True,138.40023365978772,42655.0,1
COVID/COVID (347).png,covid,256.0,256.0,3.0,True,127.4697723388672,21182.0,1
COVID/COVID (1026).png,covid,331.0,331.0,3.0,True,152.5493378118126,36533.0,1
COVID/COVID (402).png,covid,256.0,256.0,3.0,True,159.87835693359375,34600.0,1
COVID/COVID (283).png,covid,256.0,256.0,3.0,True,158.70140075683594,42999.0,1
COVID/COVID (463).png,covid,256.0,256.0,3.0,True,167.31593322753906,33088.0,1
COVID/COVID (1056).png,covid,331.0,331.0,3.0,True,156.50026925639597,20733.0,1
COVID/COVID (81).png,covid,256.0,256.0,3.0,True,136.16473388671878,42923.0,1
COVID/COVID (292).png,covid,256.0,256.0,3.0,True,124.57438659667969,19075.0,1
COVID/COVID (847).png,covid,331.0,331.0,3.0,True,113.63685983150938,40168.0,1
COVID/COVID (867).png,covid,331.0,331.0,3.0,True,148.47701280565164,27357.0,1
COVID/COVID (734).png,covid,331.0,331.0,3.0,True,158.67109646680842,30551.0,1
COVID/COVID (1077).png,covid,331.0,331.0,3.0,True,157.02878761603125,19618.0,1
COVID/COVID (1193).png,covid,891.0,1084.0,3.0,True,167.89214821441143,27694.0,1
COVID/COVID (184).png,covid,256.0,256.0,3.0,True,148.63381958007812,39898.0,1
COVID/COVID (993).png,covid,331.0,331.0,3.0,True,156.94664159691862,22955.0,1
COVID/COVID (1023).png,covid,331.0,331.0,3.0,True,139.76321866357554,35766.0,1
COVID/COVID (521).png,covid,256.0,256.0,3.0,True,148.40634155273438,36655.0,1
COVID/COVID (426).png,covid,256.0,256.0,3.0,True,148.21246337890625,32467.0,1
COVID/COVID (1062).png,covid,331.0,331.0,3.0,True,144.75426474749227,29219.0,1
COVID/COVID (963).png,covid,331.0,331.0,3.0,True,171.20521901041428,43192.0,1
COVID/COVID (16).png,covid,256.0,256.0,3.0,True,153.23150634765625,39120.0,1
COVID/COVID (890).png,covid,331.0,331.0,3.0,True,109.71519975173649,41703.0,1
COVID/COVID (41).png,covid,256.0,256.0,3.0,True,122.8813934326172,30852.0,1
COVID/COVID (759).png,covid,331.0,331.0,3.0,True,147.11274084756437,38111.0,1
COVID/COVID (442).png,covid,256.0,256.0,3.0,True,170.0784454345703,41444.0,1
COVID/COVID (587).png,covid,331.0,331.0,3.0,True,153.74605927291643,33207.0,1
COVID/COVID (1195).png,covid,891.0,1084.0,3.0,True,165.25701873180347,26007.0,1
COVID/COVID (172).png,covid,256.0,256.0,3.0,True,139.1251220703125,27475.0,1
COVID/COVID (632).png,covid,331.0,331.0,3.0,True,152.9805952848185,40349.0,1
COVID/COVID (526).png,covid,256.0,256.0,3.0,True,141.9853973388672,30965.0,1
COVID/COVID (306).png,covid,256.0,256.0,3.0,True,129.65615844726562,27332.0,1
COVID/COVID (46).png,covid,256.0,256.0,3.0,True,118.44003295898438,49841.0,1
COVID/COVID (95).png,covid,256.0,256.0,3.0,True,141.55685424804688,42360.0,1
COVID/COVID (24).png,covid,256.0,256.0,3.0,True,131.24610900878906,30850.0,1
COVID/COVID (574).png,covid,331.0,331.0,3.0,True,137.2723596900357,42415.0,1
COVID/COVID (1036).png,covid,331.0,331.0,3.0,True,98.74614141893557,38411.0,1
COVID/COVID (656).png,covid,331.0,331.0,3.0,True,146.40093646461787,35008.0,1
COVID/COVID (139).png,covid,256.0,256.0,3.0,True,143.94508361816406,42291.0,1
COVID/COVID (260).png,covid,256.0,256.0,3.0,True,100.95263671875,43083.0,1
COVID/COVID (1074).png,covid,331.0,331.0,3.0,True,154.81163917817472,25333.0,1
COVID/COVID (617).png,covid,331.0,331.0,3.0,True,135.73719663018775,31864.0,1
COVID/COVID (1181).png,covid,1047.0,1275.0,3.0,True,168.30291889057438,23379.0,1
COVID/COVID (1094).png,covid,331.0,331.0,3.0,True,145.6300508392585,46886.0,1
COVID/COVID (834).png,covid,331.0,331.0,3.0,True,173.39148967241994,32976.0,1
COVID/COVID (835).png,covid,331.0,331.0,3.0,True,182.5793028541178,41728.0,1
COVID/COVID (72).png,covid,256.0,256.0,3.0,True,97.4408721923828,44364.0,1
COVID/COVID (989).png,covid,331.0,331.0,3.0,True,159.29055959693687,26484.0,1
COVID/COVID (816).png,covid,331.0,331.0,3.0,True,143.5227042469492,24996.0,1
COVID/COVID (556).png,covid,256.0,256.0,3.0,True,98.37654113769531,15382.0,1
COVID/COVID (51).png,covid,256.0,256.0,3.0,True,137.26370239257812,27097.0,1
COVID/COVID (189).png,covid,256.0,256.0,3.0,True,164.40476989746094,26491.0,1
COVID/COVID (1113).png,covid,331.0,331.0,3.0,True,185.32779912560127,41369.0,1
COVID/COVID (320).png,covid,256.0,256.0,3.0,True,147.85427856445312,21420.0,1
COVID/COVID (568).png,covid,331.0,331.0,3.0,True,120.34905668988053,31901.0,1
COVID/COVID (464).png,covid,256.0,256.0,3.0,True,149.08409118652344,39005.0,1
COVID/COVID (1035).png,covid,331.0,331.0,3.0,True,146.28584989184108,35521.0,1
COVID/COVID (628).png,covid,331.0,331.0,3.0,True,180.4530809320835,51777.0,1
COVID/COVID (701).png,covid,331.0,331.0,3.0,True,139.35940708828872,33261.0,1
COVID/COVID (370).png,covid,256.0,256.0,3.0,True,140.378662109375,19378.0,1
COVID/COVID (853).png,covid,331.0,331.0,3.0,True,160.77451830487126,17948.0,1
COVID/COVID (517).png,covid,256.0,256.0,3.0,True,132.77198791503906,41163.0,1
COVID/COVID (255).png,covid,256.0,256.0,3.0,True,150.22189331054688,30385.0,1
COVID/COVID (618).png,covid,331.0,331.0,3.0,True,138.89155812743587,40495.0,1
COVID/COVID (354).png,covid,256.0,256.0,3.0,True,139.27935791015622,39318.0,1
COVID/COVID (1099).png,covid,331.0,331.0,3.0,True,110.95191719681273,20999.0,1
COVID/COVID (450).png,covid,256.0,256.0,3.0,True,137.27020263671878,40942.0,1
